key,name_ko,name_en,description,source_status,source_url
bokkeumbap,볶음밥,Fried Rice,식품안전나라 레시피 14건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
mandu,만두,Dumplings,식품안전나라 레시피 12건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
doenjang_guk,된장국,Soybean Paste Soup,식품안전나라 레시피 10건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
bulgogi,불고기,Bulgogi,식품안전나라 레시피 10건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
suyuk,수육,Boiled Pork Slices,식품안전나라 레시피 8건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
japchae,잡채,Japchae,식품안전나라 레시피 8건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
sujebi,수제비,Hand-torn Noodle Soup,식품안전나라 레시피 6건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
miyeok_guk,미역국,Seaweed Soup,식품안전나라 레시피 6건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
kimchi_jjigae,김치찌개,Kimchi Stew,식품안전나라 레시피 5건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
tteokbokki,떡볶이,Tteokbokki,식품안전나라 레시피 5건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
haejang_guk,해장국,Hangover Soup,식품안전나라 레시피 4건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
doenjang_jjigae,된장찌개,Soybean Paste Stew,식품안전나라 레시피 4건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
budae_jjigae,부대찌개,Army Base Stew,식품안전나라 레시피 4건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
sundubu_jjigae,순두부찌개,Soft Tofu Stew,식품안전나라 레시피 4건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
bossam,보쌈,Bossam,식품안전나라 레시피 3건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
deulkkae_tang,들깨탕,Perilla Seed Soup,식품안전나라 레시피 3건 통계 집계,public_recipe,https://openapi.foodsafetykorea.go.kr/
samgyetang,삼계탕,Ginseng Chicken Soup,식품안전나라 레시피 2건 통계 집계 (표본 부족 — 검토 필요),public_recipe,https://openapi.foodsafetykorea.go.kr/
dakgalbi,닭갈비,Spicy Stir-fried Chicken,식품안전나라 레시피 2건 통계 집계 (표본 부족 — 검토 필요),public_recipe,https://openapi.foodsafetykorea.go.kr/
jeongol,전골,Hot Pot,식품안전나라 레시피 2건 통계 집계 (표본 부족 — 검토 필요),public_recipe,https://openapi.foodsafetykorea.go.kr/
mu_guk,무국,Radish Soup,식품안전나라 레시피 2건 통계 집계 (표본 부족 — 검토 필요),public_recipe,https://openapi.foodsafetykorea.go.kr/
yukgaejang,육개장,Spicy Beef Soup,식품안전나라 레시피 2건 통계 집계 (표본 부족 — 검토 필요),public_recipe,https://openapi.foodsafetykorea.go.kr/
kalguksu,칼국수,Hand-cut Noodle Soup,식품안전나라 레시피 2건 통계 집계 (표본 부족 — 검토 필요),public_recipe,https://openapi.foodsafetykorea.go.kr/
white_rice,흰밥,Steamed White Rice,한식진흥원 정밀레시피 기준 (1종 원재료),public_recipe,https://www.hansik.or.kr/
nurungji,누룽지,Scorched Rice,한식진흥원 정밀레시피 기준 (1종 원재료),public_recipe,https://www.hansik.or.kr/
jumeokbap,주먹밥,Rice Balls,한식진흥원 정밀레시피 기준 (9종 원재료),public_recipe,https://www.hansik.or.kr/
bibimbap,비빔밥,Bibimbap,한식진흥원 정밀레시피 기준 (21종 원재료),public_recipe,https://www.hansik.or.kr/
