pattern_key,ingredient_key,presence,role
bokkeumbap,rice,always,main
bokkeumbap,onion,usually,main
bokkeumbap,bell_pepper,sometimes,main
bokkeumbap,garlic,sometimes,main
bokkeumbap,carrot,sometimes,main
bokkeumbap,chicken,sometimes,main
mandu,wheat_flour,always,main
mandu,mushroom,usually,main
mandu,sesame_oil,sometimes,main
mandu,soy_sauce,sometimes,main
mandu,salt,sometimes,main
mandu,black_pepper,usually,main
mandu,onion,sometimes,main
mandu,tofu,sometimes,main
mandu,shrimp,sometimes,main
mandu,garlic,sometimes,main
mandu,sesame_seed,sometimes,main
mandu,egg,sometimes,main
doenjang_guk,doenjang,always,sauce
doenjang_guk,tofu,usually,main
doenjang_guk,mushroom,usually,main
doenjang_guk,onion,usually,main
doenjang_guk,green_onion,always,main
doenjang_guk,garlic,usually,main
doenjang_guk,zucchini,sometimes,main
doenjang_guk,napa_cabbage,sometimes,main
doenjang_guk,anchovy,sometimes,broth
doenjang_guk,kelp_broth,sometimes,broth
doenjang_guk,soybean_powder,sometimes,sauce
doenjang_guk,red_chili,sometimes,main
doenjang_guk,green_chili,usually,main
bulgogi,beef,always,main
bulgogi,carrot,sometimes,main
bulgogi,rice,sometimes,main
bulgogi,egg,sometimes,main
bulgogi,perilla_leaf,sometimes,main
bulgogi,mushroom,sometimes,main
bulgogi,sesame_oil,sometimes,sauce
bulgogi,onion,usually,main
bulgogi,green_chili,sometimes,main
bulgogi,sugar,sometimes,main
bulgogi,soy_sauce,sometimes,sauce
bulgogi,pear,sometimes,main
bulgogi,green_onion,sometimes,main
bulgogi,garlic,usually,main
bulgogi,ginger,sometimes,sauce
bulgogi,sesame_seed,sometimes,main
bulgogi,black_pepper,usually,main
bulgogi,red_chili,sometimes,main
suyuk,pork,always,main
suyuk,onion,usually,main
suyuk,soy_sauce,sometimes,main
suyuk,sugar,sometimes,main
suyuk,vinegar,sometimes,main
suyuk,ginger,sometimes,main
suyuk,black_pepper,sometimes,main
suyuk,green_onion,sometimes,main
suyuk,garlic,sometimes,main
suyuk,doenjang,sometimes,main
japchae,glass_noodles,always,main
japchae,onion,usually,main
japchae,green_chili,sometimes,main
japchae,red_chili,sometimes,main
japchae,carrot,usually,main
japchae,garlic,sometimes,sauce
japchae,sesame_seed,sometimes,sauce
japchae,sesame_oil,usually,main
japchae,mushroom,sometimes,main
japchae,egg,sometimes,main
japchae,soy_sauce,sometimes,main
japchae,green_onion,sometimes,main
japchae,black_pepper,sometimes,main
japchae,sugar,sometimes,main
japchae,bell_pepper,sometimes,main
japchae,salt,sometimes,main
sujebi,wheat_flour,always,main
sujebi,potato,sometimes,main
sujebi,salt,usually,main
sujebi,garlic,usually,main
sujebi,perilla_seed,sometimes,sauce
sujebi,soy_sauce,usually,main
sujebi,mushroom,sometimes,main
sujebi,green_onion,sometimes,main
sujebi,carrot,sometimes,main
sujebi,cooking_wine,sometimes,main
sujebi,green_chili,sometimes,main
miyeok_guk,seaweed_miyeok,always,main
miyeok_guk,kelp_broth,sometimes,main
miyeok_guk,sesame_oil,usually,main
miyeok_guk,garlic,usually,main
miyeok_guk,mushroom,sometimes,main
miyeok_guk,green_onion,sometimes,broth
miyeok_guk,soy_sauce,usually,main
miyeok_guk,onion,sometimes,main
miyeok_guk,radish,sometimes,main
miyeok_guk,shrimp,sometimes,main
